timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2021-10-26T00:00:00Z,0.26487312,0.31989720,0.26142951,0.29486529,9169348.59,0.26365492,0.32134109,0.26080589,0.29552517,4295538.55,4295538,1787100,954441,2132268
2021-10-25T00:00:00Z,0.25479473,0.27342832,0.25109504,0.26536557,5079890.48,0.25300504,0.27137875,0.25080625,0.26288695,1858709.08,1858709,1723556,886446,611178
2021-10-24T00:00:00Z,0.25235078,0.25812022,0.24109074,0.25512401,4844014.95,0.25266122,0.25577167,0.24100526,0.25302213,1678602.31,1678602,1915222,856634,393555
2021-10-23T00:00:00Z,0.25661070,0.25827946,0.24382341,0.25247779,4813619.86,0.25664275,0.25763692,0.24311299,0.25281911,1616689.91,1616689,1958881,835629,402418
2021-10-22T00:00:00Z,0.26649559,0.29201308,0.25439388,0.25615428,6826611.96,0.26606542,0.29382958,0.25550904,0.25605991,2949577.60,2949577,1903072,840230,1133731
2021-10-21T00:00:00Z,0.26805261,0.29300099,0.26375609,0.26687761,8760774.29,0.26765117,0.29257197,0.26341631,0.26655973,4185409.66,4185409,1900302,854879,1820182
2021-10-20T00:00:00Z,0.24266101,0.27147736,0.23667541,0.26839124,6829871.83,0.24043591,0.26933199,0.23523108,0.26779738,2492244.35,2492244,1945246,919372,1473007
2021-10-19T00:00:00Z,0.24804166,0.25560328,0.23958886,0.24355636,4464068.47,0.24848062,0.25461578,0.23946196,0.24029263,1463745.41,1463745,1896721,835578,268022
2021-10-18T00:00:00Z,0.26348057,0.26462913,0.23837741,0.24787289,6741057.81,0.26426094,0.26517114,0.23817457,0.24799712,3027600.57,3027600,1954033,827171,932252
2021-10-17T00:00:00Z,0.26364053,0.26641625,0.25666461,0.26259573,4271519.12,0.26359468,0.26603777,0.25813918,0.26435996,1133233.26,1133233,2036022,867207,235056
2021-10-16T00:00:00Z,0.27491243,0.27594970,0.26114715,0.26398462,4670205.59,0.27642223,0.27777972,0.26137913,0.26409677,1242639.90,1242639,1976414,851801,599350
2021-10-15T00:00:00Z,0.26833264,0.27833453,0.26289357,0.27445459,4420666.94,0.26667122,0.27866711,0.26279068,0.27644872,1051332.30,1051332,2157185,893820,318328
2021-10-14T00:00:00Z,0.26982368,0.27721957,0.26254382,0.26795910,4879228.39,0.27115550,0.27731551,0.26209573,0.26650494,1191382.68,1191382,2069555,877714,740575
2021-10-13T00:00:00Z,0.26459836,0.27286718,0.26039752,0.26906832,4136706.26,0.26370353,0.27261421,0.26008419,0.27072817,847822.59,847822,2210477,895599,182806
2021-10-12T00:00:00Z,0.26722719,0.27174692,0.25030515,0.26486347,5639970.20,0.27060570,0.27114026,0.24558169,0.26366925,1058234.16,1058234,3362250,858293,361192
2021-10-11T00:00:00Z,0.27596039,0.28161835,0.26402942,0.26657592,4685393.29,0.27546430,0.28332376,0.26766721,0.27063386,587193.74,587193,2943828,861744,292626
2021-10-10T00:00:00Z,0.28268617,0.28717685,0.26622030,0.27554484,4518310.19,0.28251787,0.28677627,0.26695056,0.27526276,1013594.21,1013594,2320895,876720,307099
2021-10-09T00:00:00Z,0.28488314,0.29306904,0.28051355,0.28241838,4286832.33,0.28275569,0.29351787,0.28011772,0.28210408,694888.64,694888,2363921,899563,328458
2021-10-08T00:00:00Z,0.30418519,0.31034054,0.27862999,0.28384806,5889639.98,0.30578692,0.31264215,0.27810574,0.28292739,2263586.22,2263586,2330799,877665,417589
2021-10-07T00:00:00Z,0.31681144,0.31889359,0.29942792,0.30271028,4481424.94,0.31806361,0.31969473,0.30380104,0.30556617,956499.17,956499,2389107,910690,225127
2021-10-06T00:00:00Z,0.33455604,0.33480513,0.31017302,0.31743081,5581317.53,0.33552880,0.33575863,0.31052632,0.31845295,1566718.59,1566718,2596217,959618,458762
2021-10-05T00:00:00Z,0.33733198,0.34405834,0.32374469,0.33433176,5088516.91,0.33740705,0.34557425,0.32677504,0.33565436,972899.10,972899,2727490,968911,419215
2021-10-04T00:00:00Z,0.34132411,0.34410987,0.33306187,0.33745773,5249607.69,0.34099851,0.34376012,0.33296624,0.33740686,1301109.56,1301109,2531939,978783,437775
2021-10-03T00:00:00Z,0.35759137,0.35968243,0.32567696,0.34124134,4979093.14,0.35872991,0.36162517,0.31780545,0.34088708,1000958.98,1000958,2604309,969531,404293
2021-10-02T00:00:00Z,0.35018962,0.36601156,0.34704852,0.35756441,4747692.05,0.34723046,0.36589954,0.34663751,0.35832702,1084859.05,1084859,2344994,1023033,294805
2021-10-01T00:00:00Z,0.32509027,0.35504569,0.32335562,0.34846920,6208281.25,0.32190148,0.35364456,0.32041205,0.34642279,2101082.87,2101082,2496699,1034090,576408
2021-09-30T00:00:00Z,0.30297982,0.33845358,0.29561811,0.32503464,7152795.08,0.30347003,0.33748258,0.29545928,0.32202700,2151306.78,2151306,2379083,990710,1631694
2021-09-29T00:00:00Z,0.30822268,0.32949099,0.30072947,0.30309818,6405404.43,0.30714792,0.33059520,0.30141984,0.30350760,2544915.48,2544915,2369945,915847,574695
2021-09-28T00:00:00Z,0.33224915,0.34817683,0.27491613,0.30886388,9093393.49,0.33537285,0.35061595,0.26910875,0.30760192,3600400.13,3600400,3765615,905427,821950
2021-09-27T00:00:00Z,0.29970875,0.35732064,0.29572828,0.33435420,11139058.48,0.29781376,0.35723768,0.29492762,0.33578802,5779143.66,5779143,2413014,993569,1953331
2021-09-26T00:00:00Z,0.27573317,0.31688926,0.26112475,0.30074564,8516870.84,0.27378457,0.31403520,0.25789167,0.29770527,3893646.75,3893646,2720834,963399,938990
2021-09-25T00:00:00Z,0.28440793,0.29503433,0.26736376,0.28142742,6222431.45,0.28550237,0.28972629,0.27129498,0.27371545,854340.81,854340,4144901,904889,318299
2021-09-24T00:00:00Z,0.29824541,0.30621690,0.27868069,0.28478363,6989854.19,0.30026879,0.31156266,0.27829262,0.28539367,1620219.34,1620219,3874621,889250,605763
2021-09-23T00:00:00Z,0.28049525,0.30452489,0.27873219,0.29895043,5112211.66,0.27962517,0.30337040,0.27879163,0.30023647,1543741.22,1543741,1912933,943097,712439
2021-09-22T00:00:00Z,0.25415096,0.28585172,0.24994805,0.28009775,6255459.68,0.25213810,0.28501571,0.24791490,0.27948970,2609089.16,2609089,1783879,938186,924305
2021-09-21T00:00:00Z,0.28242674,0.29161060,0.24698484,0.25324602,5839557.69,0.28233435,0.29186603,0.24679140,0.25125364,2475880.17,2475880,1530944,810588,1022144
2021-09-20T00:00:00Z,0.33208480,0.33345453,0.27852691,0.28234930,7115547.99,0.33505005,0.33618160,0.27890155,0.28219716,3064328.03,3064328,1664891,858464,1527863
2021-09-19T00:00:00Z,0.34622976,0.34816346,0.31976506,0.32797179,5096778.68,0.34802458,0.34984954,0.32582229,0.33479298,1331649.36,1331649,2195910,942755,626462
2021-09-18T00:00:00Z,0.33347378,0.35240789,0.32895380,0.34589079,6040514.06,0.33113904,0.35252237,0.32827592,0.34802602,1349215.43,1349215,2710939,1016066,964292
2021-09-17T00:00:00Z,0.37325584,0.38111021,0.31936351,0.33152742,8749284.07,0.37692641,0.38287150,0.31823756,0.33027511,3742430.92,3742430,2578221,952799,1475831
